"Close","Close(-1)","High(-1)","Low(-1)"
1.6715,1.6821,1.6779,1.6307
1.67,1.6715,1.6714,1.6242
1.6352,1.67,1.6728,1.6216
1.6193,1.6352,1.6723,1.6223
1.6705,1.6193,1.6759,1.6265
1.6677,1.6705,1.672,1.621
1.6183,1.6677,1.6689,1.6217
1.6723,1.6183,1.6719,1.6171
1.6343,1.6723,1.68,1.6262
1.667,1.6343,1.6829,1.6343
1.6652,1.667,1.6649,1.6169
1.6627,1.6652,1.6649,1.6123
1.6684,1.6627,1.6697,1.6164
1.6242,1.6684,1.6741,1.6179
1.6279,1.6242,1.678,1.6236
1.6645,1.6279,1.676,1.6286
1.662,1.6645,1.667,1.6147
1.6641,1.662,1.6729,1.6107
1.6155,1.6641,1.6749,1.6197
1.6665,1.6155,1.6677,1.6144
1.6686,1.6665,1.6664,1.617
1.669,1.6686,1.6684,1.6189
1.662,1.669,1.673,1.6212
1.6145,1.662,1.6736,1.6124
1.6675,1.6145,1.6734,1.6134
1.6707,1.6675,1.6691,1.6184
1.671,1.6707,1.6714,1.614
1.6627,1.671,1.6726,1.6245
1.66,1.6627,1.6727,1.655
1.6588,1.66,1.6606,1.6539
1.6574,1.6588,1.6609,1.6564
1.6542,1.6574,1.6613,1.6563
1.6495,1.6542,1.6548,1.6501
1.6399,1.6495,1.6471,1.6399
1.6521,1.6399,1.6523,1.6501
1.654,1.6521,1.654,1.6484
1.6547,1.654,1.6514,1.6394
1.659,1.6547,1.6593,1.6488
1.6561,1.659,1.6632,1.6559
1.6649,1.6561,1.6657,1.6583
1.6632,1.6649,1.6756,1.6545
1.676,1.6632,1.6661,1.6553
1.6795,1.676,1.6728,1.662
1.6637,1.6795,1.6767,1.6635
1.6636,1.6637,1.6659,1.6553
1.6593,1.6636,1.6641,1.6593
1.66,1.6593,1.6612,1.6545
1.6575,1.66,1.6587,1.6518
1.6499,1.6575,1.6579,1.6499
1.66,1.6499,1.6614,1.6499
1.6559,1.66,1.6612,1.6531
1.6285,1.6559,1.647,1.6228
1.6272,1.6285,1.6286,1.6184
1.612,1.6272,1.6277,1.5953
1.6052,1.612,1.6177,1.6019
1.607,1.6052,1.6115,1.6034
1.6147,1.607,1.6075,1.5979
1.5929,1.6147,1.6117,1.5891
1.5703,1.5929,1.587,1.5659
1.5771,1.5703,1.5788,1.5639
1.591,1.5771,1.5883,1.5726
1.592,1.591,1.5937,1.5756
1.5686,1.592,1.588,1.5777
1.589,1.5686,1.5969,1.5712
1.5785,1.589,1.5855,1.5765
1.569,1.5785,1.5731,1.5591
1.569,1.569,1.565,1.5586
1.5613,1.569,1.565,1.5586
1.575,1.5613,1.5586,1.5586
1.5645,1.575,1.5661,1.5607
1.5665,1.5645,1.5693,1.5541
1.5863,1.5665,1.5918,1.5619
1.5633,1.5863,1.5808,1.5646
1.5765,1.5633,1.5752,1.5659
1.5875,1.5765,1.5936,1.5791
1.605,1.5875,1.6056,1.5786
1.625,1.605,1.6213,1.6085
1.5994,1.625,1.6189,1.5987
1.6155,1.5994,1.6259,1.5994
1.607,1.6155,1.6122,1.6027
1.6199,1.607,1.617,1.5987
1.6165,1.6199,1.6275,1.6135
1.6356,1.6165,1.6378,1.6098
1.6308,1.6356,1.6354,1.6218
1.618,1.6308,1.6361,1.6254
1.6113,1.618,1.6296,1.609
1.6159,1.6113,1.6175,1.6025
1.6113,1.6159,1.62,1.6092
1.6373,1.6113,1.6369,1.6175
1.6285,1.6373,1.6319,1.6178
1.6265,1.6285,1.6287,1.619
1.6223,1.6265,1.627,1.6173
1.5943,1.6223,1.6143,1.5943
1.593,1.5943,1.5945,1.5895
1.5787,1.593,1.5929,1.5764
1.592,1.5787,1.5843,1.5705
1.5775,1.592,1.5912,1.5769
1.5688,1.5775,1.5817,1.5409
1.5802,1.5688,1.5819,1.5688
1.577,1.5802,1.5746,1.55
1.5815,1.577,1.5847,1.5748
1.5869,1.5815,1.5871,1.574
1.5948,1.5869,1.596,1.5779
1.589,1.5948,1.5948,1.5813
1.5791,1.589,1.589,1.5765
1.597,1.5791,1.5926,1.5765
1.6061,1.597,1.6119,1.5952
1.5898,1.6061,1.5998,1.5898
1.594,1.5898,1.6051,1.5898
1.5875,1.594,1.5964,1.5818
1.587,1.5875,1.5866,1.5818
1.5905,1.587,1.5899,1.5864
1.59,1.5905,1.5952,1.5863
1.595,1.59,1.6018,1.59
1.578,1.595,1.5917,1.5759
1.5697,1.578,1.5755,1.5642
1.5614,1.5697,1.5655,1.5546
1.5488,1.5614,1.562,1.5488
1.5515,1.5488,1.557,1.5515
1.5637,1.5515,1.5629,1.5477
1.5692,1.5637,1.5698,1.5592
1.5545,1.5692,1.5669,1.5515
1.5618,1.5545,1.5639,1.5482
