"Open","Close","MA(Open)","MA(High)","MA(Low)","MA(Close)","MA(Volume)","Close(-6)","Close(-7)","Close(-8)","Close(-9)","Close(-10)","High(-1)","High(-2)","High(-3)","High(-4)","High(-5)","High(-6)","High(-7)","High(-8)","High(-9)","High(-10)","Low(-1)","Low(-2)","Low(-3)","Low(-4)","Low(-5)","Low(-6)","Low(-7)","Low(-8)","Low(-9)","Low(-10)","MA(Open) (#1)","MA(High) (#1)","MA(Low) (#1)","MA(Close) (#1)","MA(Open) (#2)","MA(High) (#2)","MA(Low) (#2)","MA(Close) (#2)","MA15>MA50","MA50>MA200","previsto","erro"
1.7308,1.7722999999999998,1.7790600000000003,1.8266200000000012,1.776546666666666,1.8178933333333314,0.0,1.8123,1.842,1.8599999999999999,1.874,1.8389,1.7854,1.7955999999999999,1.8089999999999997,1.8064,1.8133999999999997,1.8476999999999997,1.8516,1.8768,1.874,1.8443999999999998,1.7353000000000003,1.7349,1.7613000000000003,1.7592000000000003,1.7525,1.8003,1.8038000000000003,1.8295000000000001,1.8148,1.8156000000000003,1.7323339999999998,1.7874715000000008,1.729623,1.7755419999999988,1.7615064119504533,1.8164307084234177,1.7588947976048266,1.8045860303223629,1.0,1.0,1.7801238550699936,0.007823855069993835
1.7401000000000002,1.7744999999999997,1.7433933333333342,1.7945400000000014,1.741506666666666,1.784999999999998,0.0,1.7785,1.8011,1.7669,1.7635999999999998,1.7722999999999998,1.8089999999999997,1.8089999999999997,1.8078,1.784,1.7921,1.7989999999999997,1.8045,1.7719,1.7703,1.781,1.7921000000000002,1.7607000000000002,1.7306000000000001,1.7276000000000002,1.7324000000000002,1.7374000000000003,1.7382,1.7207,1.7213000000000003,1.7308,1.7310955,1.7862900000000008,1.728555,1.774693499999999,1.7556853108814656,1.8093803619250708,1.7532011281999358,1.798161746601887,0.0,1.0,1.7882387300119533,0.013738730011953582
1.7088000000000003,1.76,1.734793333333334,1.786453333333335,1.7329066666666662,1.7780466666666648,0.0,1.7744999999999997,1.7988999999999997,1.7909,1.8077999999999999,1.782,1.7619,1.7719,1.7818999999999998,1.7747999999999997,1.7733999999999999,1.7931,1.8089999999999997,1.8089999999999997,1.8078,1.784,1.7138000000000002,1.7158,1.7293000000000003,1.7251000000000003,1.721,1.7401000000000002,1.7921000000000002,1.7607000000000002,1.7306000000000001,1.7276000000000002,1.7304689999999998,1.7855935000000014,1.7279285,1.7744934999999988,1.7477712933548841,1.8011296217692634,1.7458172285916989,1.7910209977804803,0.0,1.0,1.7628950361158073,0.0028950361158073257
1.7109,1.756,1.7341400000000005,1.7856600000000014,1.7322533333333325,1.777319999999998,0.0,1.7734,1.7744999999999997,1.7988999999999997,1.7909,1.8077999999999999,1.7625,1.7619,1.7719,1.7818999999999998,1.7747999999999997,1.7733999999999999,1.7931,1.8089999999999997,1.8089999999999997,1.8078,1.7088,1.7138000000000002,1.7158,1.7293000000000003,1.7251000000000003,1.721,1.7401000000000002,1.7921000000000002,1.7607000000000002,1.7306000000000001,1.730357,1.785499000000001,1.7278165,1.7745459999999988,1.7463253602821436,1.799516695425371,1.7444479255096712,1.7896476253185005,0.0,1.0,1.7603337266889936,0.004333726688993567
1.7424,1.7737,1.7257400000000005,1.7803466666666679,1.7277999999999993,1.7725999999999984,0.0,1.76,1.7564,1.7683,1.765,1.767,1.7863,1.7841999999999998,1.7747999999999997,1.7659999999999998,1.7599999999999998,1.7625,1.7619,1.7719,1.7818999999999998,1.7747999999999997,1.7317,1.7103000000000002,1.7131,1.7019,1.7109,1.7088,1.7138000000000002,1.7158,1.7293000000000003,1.7251000000000003,1.7305005,1.786048500000001,1.728145,1.7751919999999992,1.7416928063659707,1.796362348131264,1.7401390254346285,1.7871673889054058,0.0,1.0,1.7835936990412988,0.009893699041298776
1.7187000000000001,1.7623,1.7177133333333343,1.7728000000000013,1.7176799999999997,1.7666666666666648,0.0,1.7737,1.7862999999999998,1.7826,1.77,1.766,1.7680999999999998,1.7706999999999997,1.7642,1.7794999999999999,1.7764999999999997,1.7964,1.7863,1.7841999999999998,1.7747999999999997,1.7659999999999998,1.7123000000000002,1.7232,1.7078,1.7308,1.7237,1.7424,1.7317,1.7103000000000002,1.7131,1.7019,1.731678,1.7873635000000012,1.7296335000000003,1.7766639999999991,1.7368937304786516,1.7909756517927264,1.735671522228743,1.7820793176899452,0.0,1.0,1.7632688746253466,9.688746253466718E-4
1.7076,1.7075,1.714166666666667,1.7667333333333346,1.7141666666666657,1.7561066666666647,0.0,1.7585000000000002,1.7648,1.7623,1.7606999999999997,1.7656,1.7581,1.7554,1.7585999999999997,1.7599999999999998,1.7538999999999998,1.7630999999999997,1.7693999999999999,1.769,1.7680999999999998,1.7706999999999997,1.7026,1.702,1.7084,1.7012000000000003,1.7040000000000002,1.7080000000000002,1.7198000000000002,1.7187000000000001,1.7123000000000002,1.7232,1.7326139999999999,1.7879145000000014,1.7305885,1.7775659999999989,1.7285518871557632,1.78230903851891,1.7276644196871656,1.772577909227496,0.0,0.0,1.7452852336327578,0.037785233632757764
1.7027,1.76,1.709806666666667,1.7640333333333347,1.7098066666666658,1.7538333333333316,0.0,1.7536999999999998,1.7428999999999997,1.7585000000000002,1.7648,1.7623,1.7615,1.7581,1.7581,1.7554,1.7585999999999997,1.7599999999999998,1.7538999999999998,1.7630999999999997,1.7693999999999999,1.769,1.6980000000000002,1.7076000000000002,1.7026,1.702,1.7084,1.7012000000000003,1.7040000000000002,1.7080000000000002,1.7198000000000002,1.7187000000000001,1.732635,1.7879815000000014,1.7306095000000001,1.7778049999999992,1.7263869592698917,1.781077586114534,1.7255677322833083,1.7712716493868583,0.0,0.0,1.7442066564411662,-0.015793343558833772
1.7242,1.7684999999999997,1.7093666666666671,1.7638600000000013,1.7093666666666656,1.754386666666665,0.0,1.7536999999999998,1.7536999999999998,1.7428999999999997,1.7585000000000002,1.7648,1.7709,1.7615,1.7581,1.7581,1.7554,1.7585999999999997,1.7599999999999998,1.7538999999999998,1.7630999999999997,1.7693999999999999,1.7027000000000003,1.6980000000000002,1.7076000000000002,1.7026,1.702,1.7084,1.7012000000000003,1.7040000000000002,1.7080000000000002,1.7198000000000002,1.732615,1.7879630000000013,1.730653,1.7779449999999992,1.7263011961612684,1.780913759208082,1.7255140957231785,1.7711629572540404,0.0,0.0,1.7573279001719733,-0.011172099828026472
1.7045000000000001,1.7554,1.7095133333333339,1.7633600000000014,1.7095133333333326,1.751519999999998,0.0,1.7075,1.7535000000000003,1.7526000000000002,1.7536999999999998,1.7536999999999998,1.7699999999999998,1.7713999999999999,1.7769,1.7709,1.7615,1.7581,1.7581,1.7554,1.7585999999999997,1.7599999999999998,1.7223000000000002,1.7187000000000001,1.7242000000000002,1.7027000000000003,1.6980000000000002,1.7076000000000002,1.7026,1.702,1.7084,1.7012000000000003,1.7331779999999999,1.788473000000001,1.7312160000000003,1.778400999999999,1.7250203257207037,1.7791066321179008,1.7243222414285324,1.7685200289329188,0.0,0.0,1.7484559977363499,-0.0069440022636502174
