"row ID","previsto"
"R^2",0.9997543768519027
"mean absolute error",0.006615649193791914
"mean squared error",1.2245957591817963E-4
"root mean squared deviation",0.011066145486038922
"mean signed difference",-2.1994975683830556E-4
"R^2",0.9997543768519027
"mean absolute error",0.006615649193791914
"mean squared error",1.2245957591817963E-4
"root mean squared deviation",0.011066145486038922
"mean signed difference",-2.1994975683830556E-4
"R^2",0.9997543768519027
"mean absolute error",0.006615649193791914
"mean squared error",1.2245957591817963E-4
"root mean squared deviation",0.011066145486038922
"mean signed difference",-2.1994975683830556E-4
"R^2",0.9997543768519027
"mean absolute error",0.006615649193791914
"mean squared error",1.2245957591817963E-4
"root mean squared deviation",0.011066145486038922
"mean signed difference",-2.1994975683830556E-4
