"High","MA(Open)","MA(High)","MA(Low)","MA(Volume)","Volume(-1)","Volume(-2)","Volume(-3)","Volume(-4)","Volume(-5)","Volume(-6)","Volume(-7)","Volume(-8)","Volume(-9)","Volume(-10)","Low(-1)","Low(-2)","Low(-3)","Low(-4)","Low(-5)","Low(-6)","Low(-7)","Low(-8)","Low(-9)","Low(-10)","MA(Open) (#1)","MA(High) (#1)","MA(Low) (#1)","MA(Close) (#1)","MA(Volume) (#1)","MA(Open) (#2)","MA(High) (#2)","MA(Low) (#2)","MA(Close) (#2)","MA(Volume) (#2)","MA15>MA50","MA50>MA200","return_diff_last_day","previsto","erro"
67339.0,69143.53333333335,69701.20000000008,68147.20000000001,1232160.000000004,1361400.0,1200200.0,1043400.0,917400.0,1142800.0,1254200.0,1256000.0,1035000.0000000001,1199800.0,1219200.0,66917.0,67284.0,66430.0,66907.0,66798.0,66715.0,67067.0,68534.0,69515.0,68674.0,62754.20499999999,63552.880000000005,61998.35500000002,62829.05999999998,4213928.0,68052.42253190266,68744.40985324915,67247.37555835859,67998.571277144,1396226.0647988191,1.0,1.0,-500.0,67134.81775675635,-204.18224324364564
64624.0,66716.0666666667,67294.53333333343,65822.13333333333,1148506.6666666707,1265000.0,1351400.0,1128800.0,858600.0,1141400.0,1172000.0,1361400.0,1200200.0,1043400.0,917400.0,63689.0,64173.0,63713.0,64440.00000000001,64602.0,66182.0,66917.0,67284.0,66430.0,66907.0,63127.24499999998,63918.86,62360.715000000026,63177.019999999975,3307556.0,67385.82646349572,68076.3054436327,66568.32175719248,67269.90033460464,1342593.8924600622,0.0,1.0,374.0,64489.12806233878,-134.87193766122073
61601.0,65396.13333333336,66003.4000000001,64381.73333333332,1152560.0000000042,1309000.0,1261800.0,970399.9999999999,1100000.0,1265000.0,1351400.0,1128800.0,858600.0,1141400.0,1172000.0,61028.0,62911.0,64326.0,63881.0,63689.0,64173.0,63713.0,64440.00000000001,64602.0,66182.0,63300.76499999998,64093.94,62509.87500000002,63325.68499999997,3213586.0,66796.6592656429,67461.28359523379,65861.9216537964,66505.49538865575,1320164.3696687887,0.0,1.0,-1832.9999999999995,60567.04623728042,-1033.9537627195823
61053.0,62740.53333333334,63433.40000000008,61693.933333333334,1139200.0000000037,1487000.0,1235600.0,1078400.0,642000.0,1207600.0,1309000.0,1261800.0,970399.9999999999,1100000.0,1265000.0,58338.00000000001,57945.0,58731.0,58786.0,59243.0,61028.0,62911.0,64326.0,63881.0,63689.0,63438.63999999997,64234.29000000001,62642.090000000026,63467.45499999997,3120811.0,65477.10269656942,66175.57435003875,64561.92234667667,65271.707024697986,1281762.9271125994,0.0,1.0,-105.0,60499.77782309575,-553.2221769042517
62183.0,61810.33333333335,62638.2000000001,60830.866666666654,1198573.3333333372,1473400.0,970399.9999999999,1051000.0,1487000.0,1235600.0,1078400.0,642000.0,1207600.0,1309000.0,1261800.0,58790.00000000001,60156.0,59603.0,58338.00000000001,57945.0,58731.0,58786.0,59243.0,61028.0,62911.0,63519.59999999998,64311.85000000002,62717.550000000025,63545.05999999997,3043336.0,64930.185020457415,65673.30187264107,64039.897627339145,64820.48068803623,1289234.998694847,0.0,1.0,1041.0,61903.20641146692,-279.79358853308077
62606.0,61669.666666666686,62391.40000000008,60551.666666666664,1234680.000000004,1575600.0,1473400.0,970399.9999999999,1051000.0,1487000.0,1235600.0,1078400.0,642000.0,1207600.0,1309000.0,60863.0,58790.00000000001,60156.0,59603.0,58338.00000000001,57945.0,58731.0,58786.0,59243.0,61028.0,63543.59999999998,64336.83500000001,62734.440000000024,63561.07499999997,3029526.0,64817.746392204186,65553.01552469436,63880.88203411017,64635.71673948578,1312912.057569559,0.0,1.0,-1947.0,61397.12986482536,-1208.8701351746422
60780.0,60789.600000000006,61562.933333333414,59672.73333333334,1256653.3333333374,1230600.0,1230600.0,1893000.0,1575600.0,1473400.0,970399.9999999999,1051000.0,1487000.0,1235600.0,1078400.0,60002.0,59479.0,59985.0,60863.0,58790.00000000001,60156.0,59603.0,58338.00000000001,57945.0,58731.0,63580.82499999997,64376.205,62764.56500000003,63586.22999999997,2964602.0,64307.07644342244,65050.65571661554,63393.03666335743,64126.25584943773,1302552.0973155205,0.0,1.0,-1124.9999999999995,60448.09363048346,-331.9063695165387
58176.0,59784.466666666674,60591.40000000008,58868.46666666666,1313280.0000000042,1183400.0,1776800.0,1422000.0,1203800.0,1230600.0,1230600.0,1893000.0,1575600.0,1473400.0,970399.9999999999,56418.0,57334.0,59313.0,59231.0,60002.0,59479.0,59985.0,60863.0,58790.00000000001,60156.0,63548.85999999997,64333.62500000001,62718.47000000003,63522.984999999964,2824375.0,63430.30445364715,64141.4401514162,62511.96652308772,63174.74054549075,1303112.444280164,0.0,0.0,-330.0,57041.021937137135,-1134.978062862865
59998.0,59550.13333333334,60438.73333333341,58752.600000000006,1335413.3333333374,1118200.0,887599.9999999999,1183400.0,1776800.0,1422000.0,1203800.0,1230600.0,1230600.0,1893000.0,1575600.0,56869.0,56839.0,56418.0,57334.0,59313.0,59231.0,60002.0,59479.0,59985.0,60863.0,63501.73999999996,64301.94500000001,62686.48500000003,63502.60999999996,2772858.0,62972.84159677309,63749.17639505971,62125.1178861721,62856.80970769831,1304956.6238818436,0.0,0.0,1955.0,59132.37718507224,-865.6228149277595
60023.0,59581.466666666674,60401.00000000009,58811.73333333333,1321426.666666671,1527800.0,1118200.0,887599.9999999999,1183400.0,1776800.0,1422000.0,1203800.0,1230600.0,1230600.0,1893000.0,58069.0,56869.0,56839.0,56418.0,57334.0,59313.0,59231.0,60002.0,59479.0,59985.0,63501.219999999965,64296.66000000002,62684.93000000002,63498.09999999996,2735691.0,62856.18114199769,63603.05183054757,62011.38777298888,62725.36618974936,1303868.1288276534,0.0,0.0,-493.0,59840.90660626225,-182.09339373774856
