"Close","Close(-1)","Volume(-1)","return_diff_last_day"
39847.0,41841.0,1088600,-1994.0
39674.0,39847.0,1729800,-173.0
39730.0,39674.0,1654400,56.0
38715.0,39730.0,1162600,-1015.0
38232.0,38715.0,1711600,-483.0
38180.0,38232.0,1216400,-52.0
38183.0,38180.0,1520800,3.0
36235.0,38183.0,1654000,-1948.0
36468.0,36235.0,1728000,233.0
38402.0,36468.0,1731400,1934.0
37369.0,38402.0,1796200,-1033.0
37105.0,37369.0,1354600,-264.0
36741.0,37105.0,1481200,-364.0
38795.0,36741.0,1067400,2054.0
38805.0,38795.0,1788200,10.0
39152.0,38805.0,1401200,347.0
39015.0,39152.0,1631800,-137.0
38607.0,39015.0,1595200,-408.0
39511.0,38607.0,1526800,904.0
40142.0,39511.0,1456800,631.0
40453.0,40142.0,1731800,311.0
40076.0,40453.0,1902800,-377.0
42439.0,40076.0,1394200,2363.0
41476.0,42439.0,1883400,-963.0
41799.0,41476.0,1826200,323.0
42589.0,41799.0,1956400,790.0
41907.0,42589.0,1640400,-682.0
40653.0,41907.0,1342000,-1254.0
40926.0,40653.0,1508600,273.0
41976.0,40926.0,1591200,1050.0
43736.0,41976.0,1671600,1760.0
44391.0,43736.0,2363600,655.0
44167.0,44391.0,1882800,-224.0
43825.0,44167.0,1466200,-342.0
44182.0,43825.0,1707600,357.0
45539.0,44182.0,1782400,1357.0
45992.0,45539.0,1923800,453.0
45418.0,45992.0,1552600,-574.0
45273.0,45418.0,2127600,-145.0
46025.0,45273.0,1758000,752.0
45778.0,46025.0,1770800,-247.0
44433.0,45778.0,1465600,-1345.0
44888.0,44433.0,1272800,455.0
45801.0,44888.0,1364400,913.0
46772.0,45801.0,1243600,971.0
45820.0,46772.0,1528400,-952.0
45821.0,45820.0,1687400,1.0
47227.0,45821.0,1792400,1406.0
47290.0,47227.0,2053400,63.0
50405.0,47290.0,2136000,3115.0
50670.0,50405.0,2502000,265.0
51499.0,50670.0,1945400,829.0
50058.0,51499.0,2468600,-1441.0
51396.0,50058.0,2030200,1338.0
50976.0,51396.0,1692800,-420.0
50326.0,50976.0,1285600,-650.0
48679.0,50326.0,1852000,-1647.0
49446.0,48679.0,1712200,767.0
49007.0,49446.0,1416200,-439.0
51463.0,49007.0,1508800,2456.0
51347.0,51463.0,1731600,-116.0
51245.0,51347.0,2003200,-102.0
50087.0,51245.0,2062000,-1158.0
50568.0,50087.0,1681000,481.0
50816.0,50568.0,1308800,248.0
51841.0,50816.0,491000,1025.0
51792.0,51841.0,1456600,-49.0
53041.0,51792.0,1731400,1249.0
53198.0,53041.0,1518800,157.0
54486.0,53198.0,2841400,1288.0
54000.0,54486.0,1803000,-486.0
52087.0,54000.0,1919000,-1913.0
53464.0,52087.0,2037400,1377.0
53341.0,53464.0,1398400,-123.0
53630.0,53341.0,1442200,289.0
53157.0,53630.0,1184800,-473.0
53411.0,53157.0,1228400,254.0
53558.0,53411.0,1437800,147.0
52034.0,53558.0,1421800,-1524.0
51206.0,52034.0,1662800,-828.0
51046.0,51206.0,1328600,-160.0
50903.0,51046.0,1638000,-143.0
51374.0,50903.0,1165000,471.0
49495.0,51374.0,1225000,-1879.0
49814.0,49495.0,1602000,319.0
49672.0,49814.0,1395200,-142.0
51515.0,49672.0,1370200,1843.0
51486.0,51515.0,1591600,-29.0
52138.0,51486.0,1220400,652.0
